James Madison University,39,
La Sierra University,39,
Stephens College,38,
Youngstown State University,37,
Maine Maritime Academy,36,
Mount Carmel College of Nursing,36,
Berklee College of Music,35,
University of Wisconsin-Oshkosh,35,
Spelman College,33,
Cedarville University,30,
Azusa Pacific University,30,
Life University,29,
Point University,27,
Brigham Young University-Provo,26,
Ohio Northern University,24,
Massachusetts College of Pharmacy and Health Science,24,
Immaculata University,18,
Xavier University of Louisiana,13,
Centenary University,12,
New Mexico Institute of Mining and Technology,70,
University of South Florida-St Petersburg,70,
CUNY Brooklyn College,70,
University of South Florida-Sarasota-Manatee,70,
CUNY Hunter College,70,
CUNY City College,70,
Florida International University,70,
SUNY College at Plattsburgh,70,
San Jose State University,70,
SUNY Maritime College,70,
University of Alabama at Birmingham,70,
University of Massachusetts-Lowell,70,
University of Missouri-Kansas City,70,
SUNY Polytechnic Institute,70,
West Chester University of Pennsylvania,70,
University of North Florida,70,
Georgia Southern University,70,
University of New Hampshire at Manchester,70,
University of Missouri-St Louis,70,
Texas State University,70,
University of North Texas,70,
University of Louisville,70,
Arizona State University-Polytechnic,70,
The University of Texas at San Antonio,70,
Wayne State University,70,
South Dakota School of Mines and Technology,70,
Georgia College and State University,70,
Montana Tech of the University of Montana,70,
Utah State University,70,
North Dakota State University-Main Campus,70,
California State University-Long Beach,70,
Fashion Institute of Technology,70,
The University of West Florida,70,
CUNY Queens College,70,
SUNY at Purchase College,70,
Averett University-Non-Traditional Programs,70,
California State University-Dominguez Hills,70,
California State University-Fullerton,70,
University of Alaska Southeast,70,
University of Louisiana at Lafayette,70,
Northern Illinois University,70,
SUNY College at Oswego,70,
SUNY College at Brockport,70,
Florida Gulf Coast University,70,
University of Memphis,70,
Rutgers University-Camden,70,
Eastern Connecticut State University,70,
Minnesota State University Moorhead,70,
Florida Atlantic University,70,
Central Connecticut State University,70,
University of Southern Mississippi,70,
University of Colorado Denver Anschutz Medical Campus,70,
Coastal Carolina University,70,
Ball State University,70,
SUNY at Fredonia,70,
Stephen F Austin State University,70,
Louisiana Tech University,70,
McNeese State University,70,
Texas A & M University-Corpus Christi,70,
University of Houston-Clear Lake,70,
University of Michigan-Dearborn,70,
University of Michigan-Flint,70,
University of Illinois at Springfield,70,
Rutgers University-Newark,70,
Salisbury University,70,
Henderson State University,70,
University of Minnesota-Rochester,70,
The University of Tennessee-Martin,70,
Western Connecticut State University,70,
Tennessee Technological University,70,
California State University-Bakersfield,70,
Winthrop University,70,
Middle Tennessee State University,70,
The University of Texas at Tyler,70,
Millersville University of Pennsylvania,70,
The University of Texas at Arlington,70,
Central Michigan University,70,
Sam Houston State University,70,
Pennsylvania State University-Penn State Shenango,70,
Southern Utah University,70,
University of Rhode Island,70,
Eastern Michigan University,70,
Oregon Institute of Technology,70,
Towson University,70,
Longwood University,70,
Indiana University-Purdue University-Indianapolis,70,
Northwest Missouri State University,70,
University of Pittsburgh-Johnstown,70,
Angelo State University,70,
University of Pittsburgh-Greensburg,70,
Saginaw Valley State University,70,
University of Massachusetts-Dartmouth,70,
University of Louisiana at Monroe,70,
University of Minnesota-Duluth,70,
Southern Illinois University-Carbondale,70,
Arizona State University-Downtown Phoenix,70,
Stockton University,70,
Massachusetts College of Liberal Arts,70,
Augusta University,70,
Bloomsburg University of Pennsylvania,70,
Ferris State University,70,
SUNY College of Agriculture and Technology at Cobleskill,70,
The University of Tennessee-Chattanooga,70,
Plymouth State University,70,
University of Wisconsin-Platteville,70,
Massachusetts Maritime Academy,70,
Radford University,70,
Grand Valley State University,70,
Boise State University,70,
Pennsylvania State University-Penn State Hazleton,70,
Pennsylvania State University-Penn State Abington,70,
University of Northern Iowa,70,
Pennsylvania State University-Penn State New Kensington,70,
Dakota State University,70,
